                  id                  |                      email                      |         name          | users_club_id | members_club_id |                  status                  
--------------------------------------+-------------------------------------------------+-----------------------+---------------+-----------------+------------------------------------------
 fdd26cf3-97fc-4cd4-872f-15c51dd89ec6 | aarav.chandra.ece.grad@stvincentngp.edu.in      | Aarav Chandra         |               | achievers       | users.club_id is NULL but has membership
 c4b413ee-4abe-452a-bd1b-61216e1f507e | aarav.joshi.mech.2023@stvincentngp.edu.in       | Aarav Joshi           |               | achievers       | users.club_id is NULL but has membership
 741d6125-35f5-4ac6-9b92-0a943051dafc | aarav.shah.ece.grad@stvincentngp.edu.in         | Aarav Shah            |               | aster           | users.club_id is NULL but has membership
 0bd5466a-1c45-41cd-b2d7-d7b86362d7e9 | aarav.sheth.ece.2023@stvincentngp.edu.in        | Aarav Sheth           |               | ascend          | users.club_id is NULL but has membership
 d4ef9dd5-1950-4493-9f49-505700a39c40 | aarav.tandon.csbs.2024@stvincentngp.edu.in      | Aarav Tandon          |               | ascend          | users.club_id is NULL but has membership
 fe427f69-106a-4ebb-8415-c92965084246 | aarav.vyas.ece.2023@stvincentngp.edu.in         | Aarav Vyas            |               | artovert        | users.club_id is NULL but has membership
 af0b9378-b328-4a3f-855e-5b32cd442a5e | aarush.raju.civil.2022@stvincentngp.edu.in      | Aarush Raju           |               | aster           | users.club_id is NULL but has membership
 92e14451-1c2f-44cc-a2bf-6dc01d6f065e | aarush.roy.ece.grad@stvincentngp.edu.in         | Aarush Roy            |               | aster           | users.club_id is NULL but has membership
 4045af03-9a2e-4f61-818d-d71b5dc36728 | aarush.shah.chem.grad@stvincentngp.edu.in       | Aarush Shah           |               | aster           | users.club_id is NULL but has membership
 52c57813-3d17-43db-ad28-11881129965b | aditya.desai.eee.2024@stvincentngp.edu.in       | Aditya Desai          |               | achievers       | users.club_id is NULL but has membership
 4921379b-1277-497c-8659-47e4156a5774 | aditya.goel.chem.2022@stvincentngp.edu.in       | Aditya Goel           |               | achievers       | users.club_id is NULL but has membership
 10ad5a9c-ce80-4e9a-9105-837fea41a321 | aditya.gupta.mech.2024@stvincentngp.edu.in      | Aditya Gupta          |               | ascend          | users.club_id is NULL but has membership
 2446753e-56f6-4051-9ac5-43cc1bc88e81 | aditya.kumar.civil.2023@stvincentngp.edu.in     | Aditya Kumar          |               | achievers       | users.club_id is NULL but has membership
 6b552eb4-a4eb-41dd-8db1-0d80843b68ef | aditya.mukherjee.eee.grad@stvincentngp.edu.in   | Aditya Mukherjee      |               | artovert        | users.club_id is NULL but has membership
 7bd30579-8548-4fa6-a451-d738af86c264 | aditya.venkat.eee.2024@stvincentngp.edu.in      | Aditya Venkat         |               | artovert        | users.club_id is NULL but has membership
 8203d590-1c95-472d-a9a6-643d696a04e9 | aditya.yethe@zenith.edu                         | Aditya Yelne          |               | ascend          | users.club_id is NULL but has membership
 b6ea4ca7-00f7-41ef-8ce3-b7d6c67e1b92 | advait.khanna.it.2024@stvincentngp.edu.in       | Advait Khanna         |               | achievers       | users.club_id is NULL but has membership
 b9fefb31-2996-4e4b-854e-6173dffdcce3 | advait.sharma.aids.2022@stvincentngp.edu.in     | Advait Sharma         |               | achievers       | users.club_id is NULL but has membership
 222d6cce-5115-47ec-8741-53f80b1f982d | ajit.naidu.chem.2024@stvincentngp.edu.in        | Ajit Naidu            |               | aster           | users.club_id is NULL but has membership
 490a5350-2cce-4765-995a-fa1f0d8c61d0 | ajit.roy.ece.2024@stvincentngp.edu.in           | Ajit Roy              |               | artovert        | users.club_id is NULL but has membership
 f985359b-f604-40a2-ae66-11e673ae8cc5 | akhil.bhat.cse.2022@stvincentngp.edu.in         | Akhil Bhat            |               | achievers       | users.club_id is NULL but has membership
 2aed1d75-95a1-49de-abd7-3f3e972b96b9 | akhil.khanna.chem.2022@stvincentngp.edu.in      | Akhil Khanna          |               | achievers       | users.club_id is NULL but has membership
 4c71d5d7-a700-4efe-9704-5d907e44a49f | akhil.mehta.csbs.2023@stvincentngp.edu.in       | Akhil Mehta           |               | achievers       | users.club_id is NULL but has membership
 1eda73be-2c3d-4a14-8e90-cd05278d45ec | amit.iyer.civil.grad@stvincentngp.edu.in        | Amit Iyer             |               | artovert        | users.club_id is NULL but has membership
 e3e040e6-2b37-467b-aa92-4c4987ec74f7 | amit.kumar.ece.2022@stvincentngp.edu.in         | Amit Kumar            |               | artovert        | users.club_id is NULL but has membership
 88820c0a-9bb1-4aa9-9398-8a1b3dd523d9 | ananya.krishna.eee.2022@stvincentngp.edu.in     | Ananya Krishna        |               | ascend          | users.club_id is NULL but has membership
 d7274c11-d1d6-4df3-8468-188bd2e5dcbc | anika.chopra.it.2024@stvincentngp.edu.in        | Anika Chopra          |               | achievers       | users.club_id is NULL but has membership
 b4b0c30c-2b09-49a8-b70f-b6b3dce0b9e2 | anika.krishna.aids.2022@stvincentngp.edu.in     | Anika Krishna         |               | ascend          | users.club_id is NULL but has membership
 8ec03e7b-8d4b-4a05-9beb-fd806ce6565c | anika.sheth.civil.2024@stvincentngp.edu.in      | Anika Sheth           |               | ascend          | users.club_id is NULL but has membership
 e29a1043-e3e8-45ec-9e09-a8da48d2bb1b | anvi.joshi.ece.grad@stvincentngp.edu.in         | Anvi Joshi            |               | aster           | users.club_id is NULL but has membership
 dd6a1e30-27a8-4086-9f33-f9061f2c9dce | arjun.das.ece.2022@stvincentngp.edu.in          | Arjun Das             |               | ascend          | users.club_id is NULL but has membership
