id,email,password_hash,name,username,avatar,role,club_id,bio,social_links,preferences,created_at,updated_at,profile_image_url,profile_images,verification_photo_url,phone_number,date_of_birth,address,emergency_contact,phone,location,website,github,linkedin,twitter,email_verified,email_verification_token,email_verification_token_expires_at,password_reset_token,password_reset_token_expires_at,oauth_provider,oauth_id,oauth_data,has_password,totp_secret,totp_temp_secret,totp_temp_secret_created_at,totp_enabled,totp_enabled_at,totp_recovery_codes,notification_preferences,email_otp_enabled,email_otp_verified,email_otp_secret,email_otp_backup_codes,email_otp_last_used,email_otp_created_at,email_otp,email_otp_expires_at,last_activity
"550e8400-e29b-41d4-a716-446655440000","admin@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Admin User","admin",,"admin","ascend","System administrator with full access","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440001","superadmin@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Super Admin","superadmin",,"admin",,"Super administrator overseeing all clubs","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440023","aster.media@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","ASTER Media Head","aster_media",,"media","aster","Media coordinator for ASTER club","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440033","achievers.media@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","ACHIEVERS Media Head","achievers_media",,"media","achievers","Media coordinator for ACHIEVERS club","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440040","altogether.coordinator@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","ALTOGETHER Coordinator","altogether_coord",,"coordinator","altogether","Lead coordinator for ALTOGETHER development club","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440041","altogether.co-coordinator@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","ALTOGETHER Co-Coordinator","altogether_co_coord",,"co_coordinator","altogether","Co-coordinator supporting ALTOGETHER activities","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440042","altogether.secretary@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","ALTOGETHER Secretary","altogether_secretary",,"secretary","altogether","Secretary managing ALTOGETHER documentation","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440043","altogether.media@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","ALTOGETHER Media Head","altogether_media",,"media","altogether","Media coordinator for ALTOGETHER club","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440100","student1.ascend@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Alice Johnson","alice_j",,"student","ascend","Computer Science student passionate about coding","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440101","student2.ascend@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Bob Smith","bob_s",,"student","ascend","Software Engineering student interested in web development","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440102","student3.ascend@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Charlie Brown","charlie_b",,"student","ascend","Data Science student exploring machine learning","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440200","student1.aster@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Frank Miller","frank_m",,"student","aster","Communication student focusing on interpersonal skills","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440201","student2.aster@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Grace Lee","grace_l",,"student","aster","Leadership development and team building enthusiast","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440202","student3.aster@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Henry Wilson","henry_w",,"student","aster","Public speaking and presentation skills specialist","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440300","student1.achievers@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Karen White","karen_w",,"student","achievers","Preparing for competitive exams and higher studies","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440301","student2.achievers@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Liam Garcia","liam_g",,"student","achievers","Research and academic excellence focused","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440302","student3.achievers@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Maya Patel","maya_p",,"student","achievers","Graduate school preparation and academic mentorship","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440400","student1.altogether@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Oliver Davis","oliver_d",,"student","altogether","Holistic development and all-round skill building","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440401","student2.altogether@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Sophie Chen","sophie_c",,"student","altogether","Balanced development across technical and soft skills","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440402","student3.altogether@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","David Park","david_p",,"student","altogether","Complete personality development enthusiast","{}","{}","2025-07-27 13:47:32.966+05:30","2025-07-27 13:47:32.966+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"5aaf2cd5-eac6-4303-8c0c-d60e56576dc8","test.api.1754509297076@example.com","$2b$12$SVqXLWt/AmAFGIKaPpQ8A.TaSW6VMd7Et8hrttFvPSXLMd1EaWF1i","Test User 1754509297076",,,"student","ascend",,"{}","{}","2025-08-07 01:11:38.307+05:30","2025-08-07 01:11:38.307+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
"550e8400-e29b-41d4-a716-446655440012","ascend.secretary@zenith.com","$2b$12$xpFzjPzZbGRcDjDVafxQcOFDwXMsAptqx/Rl0CnEBTMo7p0Jq8otu","Mohit Telang","ascend_secretary",,"secretary","ascend","Secretary managing ASCEND documentation","{}","{}","2025-07-27 13:47:32.966+05:30","2025-08-08 22:11:35.038+05:30",,"[]",,,,,"{}",,,,,,,"f",,,,,,,,"t",,,,"f",,,"{""email"": {""events"": true, ""results"": true, ""assignments"": true, ""discussions"": true}}","f","f",,"[]",,,,,"2025-08-14 00:03:24.83+05:30"
