                  id                  |          name           |                      email                      |         role         |  club_id  
--------------------------------------+-------------------------+-------------------------------------------------+----------------------+-----------
 fdd26cf3-97fc-4cd4-872f-15c51dd89ec6 | Aarav Chandra           | aarav.chandra.ece.grad@stvincentngp.edu.in      | student              | 
 c4b413ee-4abe-452a-bd1b-61216e1f507e | Aarav Joshi             | aarav.joshi.mech.2023@stvincentngp.edu.in       | student              | 
 741d6125-35f5-4ac6-9b92-0a943051dafc | Aarav Shah              | aarav.shah.ece.grad@stvincentngp.edu.in         | student              | 
 0bd5466a-1c45-41cd-b2d7-d7b86362d7e9 | Aarav Sheth             | aarav.sheth.ece.2023@stvincentngp.edu.in        | student              | 
 d4ef9dd5-1950-4493-9f49-505700a39c40 | Aarav Tandon            | aarav.tandon.csbs.2024@stvincentngp.edu.in      | student              | 
 fe427f69-106a-4ebb-8415-c92965084246 | Aarav Vyas              | aarav.vyas.ece.2023@stvincentngp.edu.in         | student              | 
 af0b9378-b328-4a3f-855e-5b32cd442a5e | Aarush Raju             | aarush.raju.civil.2022@stvincentngp.edu.in      | student              | 
 92e14451-1c2f-44cc-a2bf-6dc01d6f065e | Aarush Roy              | aarush.roy.ece.grad@stvincentngp.edu.in         | student              | 
 4045af03-9a2e-4f61-818d-d71b5dc36728 | Aarush Shah             | aarush.shah.chem.grad@stvincentngp.edu.in       | student              | 
 550e8400-e29b-41d4-a716-446655440031 | Aayushi Asole           | achievers.co-coordinator@zenith.com             | co_coordinator       | achievers
 550e8400-e29b-41d4-a716-446655440033 | ACHIEVERS Media Head    | achievers.media@zenith.com                      | media                | achievers
 086ebbaa-f6dd-4ce4-a836-246833f9573c | Aditi Jain              | aditi.jain2025@example.com                      | student              | 
 52c57813-3d17-43db-ad28-11881129965b | Aditya Desai            | aditya.desai.eee.2024@stvincentngp.edu.in       | student              | 
 4921379b-1277-497c-8659-47e4156a5774 | Aditya Goel             | aditya.goel.chem.2022@stvincentngp.edu.in       | student              | 
 10ad5a9c-ce80-4e9a-9105-837fea41a321 | Aditya Gupta            | aditya.gupta.mech.2024@stvincentngp.edu.in      | student              | 
 2446753e-56f6-4051-9ac5-43cc1bc88e81 | Aditya Kumar            | aditya.kumar.civil.2023@stvincentngp.edu.in     | student              | 
 6b552eb4-a4eb-41dd-8db1-0d80843b68ef | Aditya Mukherjee        | aditya.mukherjee.eee.grad@stvincentngp.edu.in   | student              | 
 7bd30579-8548-4fa6-a451-d738af86c264 | Aditya Venkat           | aditya.venkat.eee.2024@stvincentngp.edu.in      | student              | 
 8203d590-1c95-472d-a9a6-643d696a04e9 | Aditya Yelne            | aditya.yethe@zenith.edu                         | student              | 
 550e8400-e29b-41d4-a716-446655440013 | Aditya Yelne            | ascend.media@zenith.com                         | media                | ascend
 550e8400-e29b-41d4-a716-446655440000 | Admin User              | admin@zenith.com                                | admin                | ascend
 b6ea4ca7-00f7-41ef-8ce3-b7d6c67e1b92 | Advait Khanna           | advait.khanna.it.2024@stvincentngp.edu.in       | student              | 
 b9fefb31-2996-4e4b-854e-6173dffdcce3 | Advait Sharma           | advait.sharma.aids.2022@stvincentngp.edu.in     | student              | 
 222d6cce-5115-47ec-8741-53f80b1f982d | Ajit Naidu              | ajit.naidu.chem.2024@stvincentngp.edu.in        | student              | 
 490a5350-2cce-4765-995a-fa1f0d8c61d0 | Ajit Roy                | ajit.roy.ece.2024@stvincentngp.edu.in           | student              | 
 f985359b-f604-40a2-ae66-11e673ae8cc5 | Akhil Bhat              | akhil.bhat.cse.2022@stvincentngp.edu.in         | student              | 
 2aed1d75-95a1-49de-abd7-3f3e972b96b9 | Akhil Khanna            | akhil.khanna.chem.2022@stvincentngp.edu.in      | student              | 
 4c71d5d7-a700-4efe-9704-5d907e44a49f | Akhil Mehta             | akhil.mehta.csbs.2023@stvincentngp.edu.in       | student              | 
 550e8400-e29b-41d4-a716-446655440100 | Alice Johnson           | student1.ascend@zenith.com                      | student              | ascend
 1eda73be-2c3d-4a14-8e90-cd05278d45ec | Amit Iyer               | amit.iyer.civil.grad@stvincentngp.edu.in        | student              | 
 e3e040e6-2b37-467b-aa92-4c4987ec74f7 | Amit Kumar              | amit.kumar.ece.2022@stvincentngp.edu.in         | student              | 
 88820c0a-9bb1-4aa9-9398-8a1b3dd523d9 | Ananya Krishna          | ananya.krishna.eee.2022@stvincentngp.edu.in     | student              | 
 d7274c11-d1d6-4df3-8468-188bd2e5dcbc | Anika Chopra            | anika.chopra.it.2024@stvincentngp.edu.in        | student              | 
 b4b0c30c-2b09-49a8-b70f-b6b3dce0b9e2 | Anika Krishna           | anika.krishna.aids.2022@stvincentngp.edu.in     | student              | 
 8ec03e7b-8d4b-4a05-9beb-fd806ce6565c | Anika Sheth             | anika.sheth.civil.2024@stvincentngp.edu.in      | student              | 
 bca6518e-d6ec-4489-9422-1898f5086ba4 | Anita Gupta             | anita.gupta2025@example.com                     | coordinator          | 
 e29a1043-e3e8-45ec-9e09-a8da48d2bb1b | Anvi Joshi              | anvi.joshi.ece.grad@stvincentngp.edu.in         | student              | 
 fe92388c-92c7-422b-b223-35966f52e805 | Arjun Das               | arjun.das.it.grad@stvincentngp.edu.in           | student              | 
 dd6a1e30-27a8-4086-9f33-f9061f2c9dce | Arjun Das               | arjun.das.ece.2022@stvincentngp.edu.in          | student              | 
